ano_mes,tributo,rotulo,tributo_pai,nivel,tipo,valor,valor_constante
1994-01,ITR - I. TERRITORIAL RURAL,ITR,,1,componente,1.9983638264597898,104.69408194250549
1994-01,OUTRAS RECEITAS ADMINISTRADAS,Outras receitas administradas,,1,componente,367.17749250511315,19236.392281917393
1994-01,PSS - CONTRIB. DO PLANO DE SEGURIDADE DO SERVIDOR,PSS,,1,componente,0.0,0.0
1994-01,RECEITA PREVIDENCIÁRIA [B],Receita previdenciária,,1,componente,0.0,0.0
1994-01,SUBTOTAL [A],Subtotal administradas (exceto previdenciária),,1,agregado,4744.4933696658645,248563.53534953602
1994-01,TOTAL GERAL [E]=[C]+[D],Total geral,,1,agregado,4977.68237459847,260780.2841053196
1994-02,ADMINISTRADAS PELA RFB [C]=[A]+[B],Administradas pela RFB,,1,agregado,4252.779166247547,158838.4381405826
1994-02,ADMINISTRADAS POR OUTROS ÓRGÃOS [D],Administradas por outros órgãos,,1,componente,297.0119734368109,11093.197207176394
1994-02,CIDE-COMBUSTÍVEIS,CIDE-Combustíveis,,1,componente,0.0,0.0
1994-02,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,COFINS,,1,componente,637.9777002298067,23828.037504810505
1994-02,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · DEMAIS EMPRESAS,COFINS · DEMAIS EMPRESAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,637.9777002298067,23828.037504810505
1994-02,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL · ENTIDADES FINANCEIRAS,COFINS · ENTIDADES FINANCEIRAS,COFINS - CONTRIB. P/ A SEGURIDADE SOCIAL,2,detalhe,0.0,0.0
1994-02,CONTRIBUIÇÃO PARA O FUNDAF,FUNDAF,,1,componente,14.802807202160338,552.8748811478853
1994-02,CONTRIBUIÇÃO PARA O PIS/PASEP,PIS/PASEP,,1,componente,416.21724092572674,15545.433677939716
1994-02,CONTRIBUIÇÃO PARA O PIS/PASEP · DEMAIS EMPRESAS,PIS/PASEP · DEMAIS EMPRESAS,CONTRIBUIÇÃO PARA O PIS/PASEP,2,detalhe,416.21724092572674,15545.433677939716
1994-02,CONTRIBUIÇÃO PARA O PIS/PASEP · ENTIDADES FINANCEIRAS,PIS/PASEP · ENTIDADES FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP,2,detalhe,0.0,0.0
1994-02,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,CSLL,,1,componente,268.7560772419058,10037.858511134658
1994-02,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO · DEMAIS EMPRESAS,CSLL · DEMAIS EMPRESAS,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,2,detalhe,173.4098512419058,6476.741173880127
1994-02,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO · ENTIDADES FINANCEIRAS,CSLL · ENTIDADES FINANCEIRAS,CSLL - CONTRIB. SOCIAL S/ LUCRO LÍQUIDO,2,detalhe,95.346226,3561.117337254531
1994-02,I.P.I-AUTOMÓVEIS,I.P.I-AUTOMÓVEIS,I.P.I-TOTAL,2,detalhe,48.73245176249687,1820.1242580733895
1994-02,I.P.I-BEBIDAS,I.P.I-BEBIDAS,I.P.I-TOTAL,2,detalhe,80.68152802172717,3013.4007426194285
1994-02,I.P.I-FUMO,I.P.I-FUMO,I.P.I-TOTAL,2,detalhe,115.57166696327475,4316.52393790945
1994-02,I.P.I-OUTROS,I.P.I-OUTROS,I.P.I-TOTAL,2,detalhe,398.2314420053802,14873.676199467312
1994-02,I.P.I-TOTAL,IPI,,1,componente,719.8670679903125,26886.55024834321
1994-02,I.P.I-VINCULADO À IMPORTAÇÃO,I.P.I-VINCULADO À IMPORTAÇÃO,I.P.I-TOTAL,2,detalhe,76.64997923743348,2862.825110273627
